June 25, 2023 at 9:46:11 AM
ONSET PROD LOG FILE
S0026_B10
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	57814.660043041	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	57821.531283041	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	57824.292711833	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	57832.055304583	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	57840.503289	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	57845.867776458	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	57851.917869875	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	57857.217855583	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	57863.417209916	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	57870.305729666	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	57877.5804915	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	57883.105304916	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	57889.442437291	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	57894.955167666	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	57901.330431	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	57906.541373916	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	57912.218302291	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	57917.98067	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	57924.380634458	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	57931.393297833	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
