September 2, 2021 at 10:21:34 AM
ONSET PROD LOG FILE
S0014_B3
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	284962.203726166	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	284968.719732541	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	284973.719254375	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	284980.072877333	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	284987.015242958	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	284992.582387583	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	284999.039061666	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	285004.714479916	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	285010.791663583	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	285017.402556041	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	285024.609864541	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	285030.175226458	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	285037.08432875	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	285042.860733541	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	285049.328069375	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	285055.05338325	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	285061.897327083	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	285067.489855083	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	285073.954731333	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	285081.586543875	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	11	readRepeat	echolalia	285089.8897415	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
11	11	listen	echolalia	285096.123102333	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
12	12	readRepeat	echolalia	285102.957282083	The two artists exchanged autographs.	The two artists exchanged autographs.	0
12	12	listen	echolalia	285108.761158041	The two artists exchanged autographs.	The two artists exchanged autographs.	0
13	13	readRepeat	echolalia	285115.416313958	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
13	13	listen	echolalia	285121.526480625	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
14	14	readRepeat	echolalia	285128.24000125	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
14	14	listen	echolalia	285136.082378541	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
15	15	readRepeat	echolalia	285186.321557791	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
15	15	listen	echolalia	285192.304936541	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
16	16	readRepeat	echolalia	285198.888921583	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
16	16	listen	echolalia	285206.603687916	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
17	17	readRepeat	echolalia	285214.890245833	How do oysters make pearls?	How do oysters make pearls?	0
17	17	listen	echolalia	285219.82428375	How do oysters make pearls?	How do oysters make pearls?	0
