October 14, 2021 at 12:41:18 PM
ONSET PROD LOG FILE
S0015_B4
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	428004.669789708	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	428011.115433416	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	428014.101560791	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	428020.001587083	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	428026.435237708	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	428031.519142541	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	428037.06928125	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	428041.819641166	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	428047.118762416	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	428053.653165041	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	428062.704017708	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	428067.887843791	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	428073.504506166	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	428078.621566875	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	428084.572324541	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	428090.805566916	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	428110.523555833	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	428115.623629083	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	428121.056856375	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	428128.307886541	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	11	readRepeat	echolalia	428136.14195825	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
11	11	listen	echolalia	428141.907526583	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
12	12	readRepeat	echolalia	428148.292080916	The two artists exchanged autographs.	The two artists exchanged autographs.	0
12	12	listen	echolalia	428152.74277275	The two artists exchanged autographs.	The two artists exchanged autographs.	0
13	13	readRepeat	echolalia	428157.840671	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
13	13	listen	echolalia	428163.943153041	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
14	14	readRepeat	echolalia	428170.609816583	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
14	14	listen	echolalia	428177.027251916	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
15	15	readRepeat	echolalia	428183.908920375	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
15	15	listen	echolalia	428189.026761083	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
16	16	readRepeat	echolalia	428196.477202916	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
16	16	listen	echolalia	428203.896500041	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
17	17	readRepeat	echolalia	428212.413052291	How do oysters make pearls?	How do oysters make pearls?	0
17	17	listen	echolalia	428219.84607925	How do oysters make pearls?	How do oysters make pearls?	0
18	18	readRepeat	echolalia	428252.698402208	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
18	18	listen	echolalia	428257.931808791	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
19	19	readRepeat	echolalia	428263.782220375	Is she going with you?	Is she going with you?	0
19	19	listen	echolalia	428268.132110125	Is she going with you?	Is she going with you?	0
20	20	readRepeat	echolalia	428273.082585916	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
20	20	listen	echolalia	428278.116564083	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
0	0	break	break	428283.751122208	break	break	break
1	21	readRepeat	shuffled	428283.751122208	Draw every outer line first, then fill in the interior.	The rose corsage smelled sweet.	0
1	21	listen	shuffled	428298.900796958	Draw every outer line first, then fill in the interior.	The rose corsage smelled sweet.	0
2	22	readRepeat	shuffled	428306.567704916	The water contained too much chlorine and stung his eyes.	Her wardrobe consists of only skirts and blouses.	0
2	22	listen	shuffled	428312.001255166	The water contained too much chlorine and stung his eyes.	Her wardrobe consists of only skirts and blouses.	0
3	23	readRepeat	shuffled	428318.251400833	John's brother repainted the garage door.	They own a big house in the remote countryside.	0
3	23	listen	shuffled	428323.419523041	John's brother repainted the garage door.	They own a big house in the remote countryside.	0
4	24	readRepeat	shuffled	428329.10223475	Challenge each general's intelligence.	The water contained too much chlorine and stung his eyes.	0
