February 10, 2023 at 11:10:51 AM
ONSET PROD LOG FILE
S0024_B5
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
26	26	readRepeat	echolalia	166178.725689125	The cat's meow always hurts my ears.	The cat's meow always hurts my ears.	0
26	26	listen	echolalia	166185.858770416	The cat's meow always hurts my ears.	The cat's meow always hurts my ears.	0
27	27	readRepeat	echolalia	166190.446038125	How do you know my name?	How do you know my name?	0
27	27	listen	echolalia	166196.071122458	How do you know my name?	How do you know my name?	0
28	28	readRepeat	echolalia	166202.05858525	Add the numbers together one by one.	Add the numbers together one by one.	0
28	28	listen	echolalia	166209.4586055	Add the numbers together one by one.	Add the numbers together one by one.	0
29	29	readRepeat	echolalia	166217.304015666	He will allow a rare lie.	He will allow a rare lie.	0
29	29	listen	echolalia	166233.696340416	He will allow a rare lie.	He will allow a rare lie.	0
30	30	readRepeat	echolalia	166250.85885675	John's brother repainted the garage door.	John's brother repainted the garage door.	0
30	30	listen	echolalia	166258.821695708	John's brother repainted the garage door.	John's brother repainted the garage door.	0
31	31	readRepeat	echolalia	166267.509038583	He ate four extra eggs for breakfast.	He ate four extra eggs for breakfast.	0
31	31	listen	echolalia	166275.933967458	He ate four extra eggs for breakfast.	He ate four extra eggs for breakfast.	0
32	32	readRepeat	echolalia	166284.971497	Jane helped her sister with homework.	Jane helped her sister with homework.	0
32	32	listen	echolalia	166293.8964445	Jane helped her sister with homework.	Jane helped her sister with homework.	0
33	33	readRepeat	echolalia	166303.258936125	Did you eat lunch yesterday?	Did you eat lunch yesterday?	0
33	33	listen	echolalia	166313.359128625	Did you eat lunch yesterday?	Did you eat lunch yesterday?	0
34	34	readRepeat	echolalia	166323.946775083	Do all farmers grow potatoes?	Do all farmers grow potatoes?	0
34	34	listen	echolalia	166330.284357916	Do all farmers grow potatoes?	Do all farmers grow potatoes?	0
35	35	readRepeat	echolalia	166337.059058666	My favorite ice cream flavor is vanilla.	My favorite ice cream flavor is vanilla.	0
35	35	listen	echolalia	166343.421497083	My favorite ice cream flavor is vanilla.	My favorite ice cream flavor is vanilla.	0
36	36	readRepeat	echolalia	166350.144580041	Pick a prize from the bag.	Pick a prize from the bag.	0
36	36	listen	echolalia	166355.859206166	Pick a prize from the bag.	Pick a prize from the bag.	0
37	37	readRepeat	echolalia	166362.071889666	They all like long hot showers.	They all like long hot showers.	0
37	37	listen	echolalia	166370.1453065	They all like long hot showers.	They all like long hot showers.	0
38	38	readRepeat	echolalia	166378.796712208	We are open every Monday evening.	We are open every Monday evening.	0
38	38	listen	echolalia	166385.446782625	We are open every Monday evening.	We are open every Monday evening.	0
39	39	readRepeat	echolalia	166392.732354875	We welcome many new students each year.	We welcome many new students each year.	0
39	39	listen	echolalia	166399.871874833	We welcome many new students each year.	We welcome many new students each year.	0
40	40	readRepeat	echolalia	166407.444966	She slipped on the stairs.	She slipped on the stairs.	0
40	40	listen	echolalia	166413.609516041	She slipped on the stairs.	She slipped on the stairs.	0
41	41	readRepeat	echolalia	166420.445070041	How much allowance do you get?	How much allowance do you get?	0
41	41	listen	echolalia	166426.896239041	How much allowance do you get?	How much allowance do you get?	0
42	42	readRepeat	echolalia	166434.047162125	Carl lives in a very small home.	Carl lives in a very small home.	0
42	42	listen	echolalia	166440.9721115	Carl lives in a very small home.	Carl lives in a very small home.	0
43	43	readRepeat	echolalia	166448.321996583	How do oysters make pearls?	How do oysters make pearls?	0
43	43	listen	echolalia	166454.860551458	How do oysters make pearls?	How do oysters make pearls?	0
44	44	readRepeat	echolalia	166461.997276041	Michael colored the bedroom wall with crayons.	Michael colored the bedroom wall with crayons.	0
44	44	listen	echolalia	166474.810184291	Michael colored the bedroom wall with crayons.	Michael colored the bedroom wall with crayons.	0
45	45	readRepeat	echolalia	166488.109841791	She is taller than I am.	She is taller than I am.	0
45	45	listen	echolalia	166493.757995291	She is taller than I am.	She is taller than I am.	0
46	46	readRepeat	echolalia	166500.272467541	The roses smelled very sweet.	The roses smelled very sweet.	0
46	46	listen	echolalia	166506.3475155	The roses smelled very sweet.	The roses smelled very sweet.	0
47	47	readRepeat	echolalia	166513.010104458	Steve wore a bright red sweater.	Steve wore a bright red sweater.	0
47	47	listen	echolalia	166520.322362083	Steve wore a bright red sweater.	Steve wore a bright red sweater.	0
48	48	readRepeat	echolalia	166528.385188916	The tooth fairy forgot to come when Roger's tooth fell out.	The tooth fairy forgot to come when Roger's tooth fell out.	0
48	48	listen	echolalia	166537.910209125	The tooth fairy forgot to come when Roger's tooth fell out.	The tooth fairy forgot to come when Roger's tooth fell out.	0
49	49	readRepeat	echolalia	166548.145689625	Birthday parties have cupcakes and ice cream.	Birthday parties have cupcakes and ice cream.	0
49	49	listen	echolalia	166555.823039208	Birthday parties have cupcakes and ice cream.	Birthday parties have cupcakes and ice cream.	0
50	50	readRepeat	echolalia	166564.160513	Bob looked for shells by the ocean.	Bob looked for shells by the ocean.	0
50	50	listen	echolalia	166572.647791916	Bob looked for shells by the ocean.	Bob looked for shells by the ocean.	0
0	0	break	break	166581.810134708	break	break	break
26	51	readRepeat	shuffled	166581.810134708	The cat's meow always hurts my ears.	The big dog loved to chew on the old rag doll.	0
26	51	listen	shuffled	166601.523120583	The cat's meow always hurts my ears.	The big dog loved to chew on the old rag doll.	0
27	52	readRepeat	shuffled	166612.309928166	How do you know my name?	Guess the question from the answer.	0
27	52	listen	shuffled	166618.260535125	How do you know my name?	Guess the question from the answer.	0
28	53	readRepeat	shuffled	166626.973061	Add the numbers together one by one.	The cat's meow always hurts my ears.	0
28	53	listen	shuffled	166634.185535625	Add the numbers together one by one.	The cat's meow always hurts my ears.	0
29	54	readRepeat	shuffled	166642.04826825	He will allow a rare lie.	Michael colored the bedroom wall with crayons.	0
29	54	listen	shuffled	166655.573872125	He will allow a rare lie.	Michael colored the bedroom wall with crayons.	0
30	55	readRepeat	shuffled	166663.06066725	John's brother repainted the garage door.	She slipped on the stairs.	0
30	55	listen	shuffled	166670.823281875	John's brother repainted the garage door.	She slipped on the stairs.	0
31	56	readRepeat	shuffled	166677.673381666	He ate four extra eggs for breakfast.	Please sing just the club theme.	0
31	56	listen	shuffled	166684.823364583	He ate four extra eggs for breakfast.	Please sing just the club theme.	0
32	57	readRepeat	shuffled	166693.7233395	Jane helped her sister with homework.	Even I get the Monday blues!	0
32	57	listen	shuffled	166699.860806666	Jane helped her sister with homework.	Even I get the Monday blues!	0
33	58	readRepeat	shuffled	166706.810866416	Did you eat lunch yesterday?	Do all farmers grow potatoes?	0
33	58	listen	shuffled	166711.635922208	Did you eat lunch yesterday?	Do all farmers grow potatoes?	0
34	59	readRepeat	shuffled	166721.561095291	Do all farmers grow potatoes?	Steve wore a bright red sweater.	0
34	59	listen	shuffled	166727.644134	Do all farmers grow potatoes?	Steve wore a bright red sweater.	0
35	60	readRepeat	shuffled	166736.047931125	My favorite ice cream flavor is vanilla.	The angry boy didn't look up.	0
35	60	listen	shuffled	166742.787009958	My favorite ice cream flavor is vanilla.	The angry boy didn't look up.	0
36	61	readRepeat	shuffled	166748.81112725	Pick a prize from the bag.	Orange juice tastes funny after toothpaste.	0
36	61	listen	shuffled	166753.99859025	Pick a prize from the bag.	Orange juice tastes funny after toothpaste.	0
37	62	readRepeat	shuffled	166763.42415925	They all like long hot showers.	We are open every Monday evening.	0
37	62	listen	shuffled	166769.536253666	They all like long hot showers.	We are open every Monday evening.	0
38	63	readRepeat	shuffled	166778.386648958	We are open every Monday evening.	Cut a small corner off each edge.	0
38	63	listen	shuffled	166785.223696666	We are open every Monday evening.	Cut a small corner off each edge.	0
39	64	readRepeat	shuffled	166793.523870625	We welcome many new students each year.	Is she going with you?	0
39	64	listen	shuffled	166802.198525958	We welcome many new students each year.	Is she going with you?	0
40	65	readRepeat	shuffled	166808.798416791	She slipped on the stairs.	Which theatre shows "Mother Goose"?	0
40	65	listen	shuffled	166813.7614745	She slipped on the stairs.	Which theatre shows "Mother Goose"?	0
41	66	readRepeat	shuffled	166817.40725825	How much allowance do you get?	I saw a purple crab on the beach.	0
41	66	listen	shuffled	166823.586690541	How much allowance do you get?	I saw a purple crab on the beach.	0
42	67	readRepeat	shuffled	166836.948970583	Carl lives in a very small home.	He will allow a rare lie.	0
42	67	listen	shuffled	166843.361351833	Carl lives in a very small home.	He will allow a rare lie.	0
43	68	readRepeat	shuffled	166850.161559125	How do oysters make pearls?	The roses smelled very sweet.	0
43	68	listen	shuffled	166856.1620565	How do oysters make pearls?	The roses smelled very sweet.	0
44	69	readRepeat	shuffled	166863.522209333	Michael colored the bedroom wall with crayons.	My favorite ice cream flavor is vanilla.	0
44	69	listen	shuffled	166870.059509666	Michael colored the bedroom wall with crayons.	My favorite ice cream flavor is vanilla.	0
45	70	readRepeat	shuffled	166877.9490485	She is taller than I am.	Is this seesaw safe?	0
45	70	listen	shuffled	166883.374233666	She is taller than I am.	Is this seesaw safe?	0
46	71	readRepeat	shuffled	166890.599274166	The roses smelled very sweet.	Don't do Charlie's dirty dishes.	0
46	71	listen	shuffled	166896.086340166	The roses smelled very sweet.	Don't do Charlie's dirty dishes.	0
47	72	readRepeat	shuffled	166913.086958	Steve wore a bright red sweater.	Spring Street is straight ahead.	0
47	72	listen	shuffled	166920.637060625	Steve wore a bright red sweater.	Spring Street is straight ahead.	0
48	73	readRepeat	shuffled	166927.333392416	The tooth fairy forgot to come when Roger's tooth fell out.	They own a big house in Austin, Texas.	0
48	73	listen	shuffled	166936.311869791	The tooth fairy forgot to come when Roger's tooth fell out.	They own a big house in Austin, Texas.	0
49	74	readRepeat	shuffled	166943.349684916	Birthday parties have cupcakes and ice cream.	Add the numbers together one by one.	0
49	74	listen	shuffled	166950.097733291	Birthday parties have cupcakes and ice cream.	Add the numbers together one by one.	0
50	75	readRepeat	shuffled	166958.037254541	Bob looked for shells by the ocean.	Carl lives in a very small home.	0
50	75	listen	shuffled	166964.799479875	Bob looked for shells by the ocean.	Carl lives in a very small home.	0

