February 15, 2020 at 4:45:03 PM
ONSET PROD LOG FILE
S0006_B5
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	1161779.907429333	Diane may splurge and buy a turquoise necklace.	Diane may splurge and buy a turquoise necklace.	0
1	1	listen	echolalia	1161786.015057666	Diane may splurge and buy a turquoise necklace.	Diane may splurge and buy a turquoise necklace.	0
2	2	readRepeat	echolalia	1161789.546661291	Grandmother outgrew her upbringing in petticoats.	Grandmother outgrew her upbringing in petticoats.	0
2	2	listen	echolalia	1161794.965609708	Grandmother outgrew her upbringing in petticoats.	Grandmother outgrew her upbringing in petticoats.	0
3	3	readRepeat	echolalia	1161801.082795041	Objects made of pewter are beautiful.	Objects made of pewter are beautiful.	0
3	3	listen	echolalia	1161805.949856125	Objects made of pewter are beautiful.	Objects made of pewter are beautiful.	0
4	4	readRepeat	echolalia	1161811.349590791	Artificial intelligence is for real.	Artificial intelligence is for real.	0
4	4	listen	echolalia	1161815.533224833	Artificial intelligence is for real.	Artificial intelligence is for real.	0
5	5	readRepeat	echolalia	1161820.217110875	Todd placed top priority on getting his bike fixed.	Todd placed top priority on getting his bike fixed.	0
5	5	listen	echolalia	1161825.734228625	Todd placed top priority on getting his bike fixed.	Todd placed top priority on getting his bike fixed.	0
6	6	readRepeat	echolalia	1161832.101008416	When peeling an orange, it is hard not to spray juice.	When peeling an orange, it is hard not to spray juice.	0
6	6	listen	echolalia	1161837.684633583	When peeling an orange, it is hard not to spray juice.	When peeling an orange, it is hard not to spray juice.	0
7	7	readRepeat	echolalia	1161843.768192916	The morning dew on the spider web glistened in the sun.	The morning dew on the spider web glistened in the sun.	0
7	7	listen	echolalia	1161848.968428166	The morning dew on the spider web glistened in the sun.	The morning dew on the spider web glistened in the sun.	0
8	8	readRepeat	echolalia	1161854.802581291	Tornados often destroy aviaries.	Tornados often destroy aviaries.	0
8	8	listen	echolalia	1161859.352298291	Tornados often destroy aviaries.	Tornados often destroy aviaries.	0
9	9	readRepeat	echolalia	1161864.469552166	They remained lifelong friends and companions.	They remained lifelong friends and companions.	0
9	9	listen	echolalia	1161869.553160041	They remained lifelong friends and companions.	They remained lifelong friends and companions.	0
10	10	readRepeat	echolalia	1161875.288212375	The football team coach has a watch as thin as a dime.	The football team coach has a watch as thin as a dime.	0
10	10	listen	echolalia	1161881.637158041	The football team coach has a watch as thin as a dime.	The football team coach has a watch as thin as a dime.	0
11	11	readRepeat	echolalia	1161888.753676041	They often go out in the evening.	They often go out in the evening.	0
11	11	listen	echolalia	1161893.087771166	They often go out in the evening.	They often go out in the evening.	0
12	12	readRepeat	echolalia	1161898.15455775	Our experiment's positive outcome was unexpected.	Our experiment's positive outcome was unexpected.	0
12	12	listen	echolalia	1161903.321642666	Our experiment's positive outcome was unexpected.	Our experiment's positive outcome was unexpected.	0
13	13	readRepeat	echolalia	1161909.155349458	Each stag surely finds a big fawn.	Each stag surely finds a big fawn.	0
13	13	listen	echolalia	1161913.688752666	Each stag surely finds a big fawn.	Each stag surely finds a big fawn.	0
14	14	readRepeat	echolalia	1161918.989078	The cigarettes in the clay ashtray overflowed onto the oak table.	The cigarettes in the clay ashtray overflowed onto the oak table.	0
14	14	listen	echolalia	1161925.456034875	The cigarettes in the clay ashtray overflowed onto the oak table.	The cigarettes in the clay ashtray overflowed onto the oak table.	0
15	15	readRepeat	echolalia	1161932.456494083	Project development was proceeding too slowly.	Project development was proceeding too slowly.	0
15	15	listen	echolalia	1161937.273737208	Project development was proceeding too slowly.	Project development was proceeding too slowly.	0
16	16	readRepeat	echolalia	1161942.974133625	Will Robin wear a yellow lily?	Will Robin wear a yellow lily?	0
16	16	listen	echolalia	1161947.973984333	Will Robin wear a yellow lily?	Will Robin wear a yellow lily?	0
