July 19, 2022 at 4:16:56 PM
ONSET PROD LOG FILE
TCH06_B2
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	51029.184563583	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	51038.949060083	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	51042.78048825	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	51050.495505375	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	51059.993665041	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	51065.81640675	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	51073.381339166	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	51079.846479708	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	51088.118939	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	51098.449662708	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	51111.929295416	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	51121.55200125	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	51136.08098125	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	51143.129835083	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	51151.202448208	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	51158.450776208	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	51168.672587	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	51174.962818625	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	51182.810969333	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	51193.591173708	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	11	readRepeat	echolalia	51205.879480708	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
11	11	listen	echolalia	51216.16029475	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
12	12	readRepeat	echolalia	51228.007547916	The two artists exchanged autographs.	The two artists exchanged autographs.	0
12	12	listen	echolalia	51234.872060625	The two artists exchanged autographs.	The two artists exchanged autographs.	0
13	13	readRepeat	echolalia	51243.403294833	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
13	13	listen	echolalia	51249.793306208	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
14	14	readRepeat	echolalia	51257.691704333	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
14	14	listen	echolalia	51264.706048083	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
15	15	readRepeat	echolalia	51273.203885125	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
15	15	listen	echolalia	51285.449396	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
16	16	readRepeat	echolalia	51299.262180625	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
16	16	listen	echolalia	51306.211814041	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
17	17	readRepeat	echolalia	51314.684932208	How do oysters make pearls?	How do oysters make pearls?	0
17	17	listen	echolalia	51320.308355166	How do oysters make pearls?	How do oysters make pearls?	0
18	18	readRepeat	echolalia	51327.464824791	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
18	18	listen	echolalia	51334.154747458	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
19	19	readRepeat	echolalia	51342.2109785	Is she going with you?	Is she going with you?	0
19	19	listen	echolalia	51346.393088583	Is she going with you?	Is she going with you?	0
20	20	readRepeat	echolalia	51352.049993166	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
20	20	listen	echolalia	51358.523237041	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
0	0	break	break	51366.637461958	break	break	break
1	21	readRepeat	shuffled	51366.637461958	Draw every outer line first, then fill in the interior.	Can the agency overthrow alien forces?	0
1	21	listen	shuffled	51426.437357583	Draw every outer line first, then fill in the interior.	Can the agency overthrow alien forces?	0
