May 5, 2019 at 2:17:59 PM
ONSET PROD LOG FILE
S0004_B9
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	217138.664657125	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	217147.443355166	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	217150.7102895	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	217157.110258125	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	217164.094065791	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	217169.461041416	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	217175.610307958	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	217180.095107166	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	217185.245141666	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	217196.878952708	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	217209.394967166	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	217216.029834458	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	217224.863891125	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	217230.482091541	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	217237.064927875	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	217241.265294166	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	217246.215001916	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	217251.248560708	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	217256.749161125	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	217263.199914833	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	11	readRepeat	echolalia	217270.666752625	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
11	11	listen	echolalia	217275.866990125	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
12	12	readRepeat	echolalia	217282.133714583	The two artists exchanged autographs.	The two artists exchanged autographs.	0
12	12	listen	echolalia	217287.217851833	The two artists exchanged autographs.	The two artists exchanged autographs.	0
13	13	readRepeat	echolalia	217292.768140583	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
13	13	listen	echolalia	217298.57657175	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
14	14	readRepeat	echolalia	217305.118970208	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
14	14	listen	echolalia	217312.119665541	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
15	15	readRepeat	echolalia	217319.668422041	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
15	15	listen	echolalia	217328.934520333	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
16	16	readRepeat	echolalia	217338.936963083	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
16	16	listen	echolalia	217345.737543958	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
17	17	readRepeat	echolalia	217353.021084541	How do oysters make pearls?	How do oysters make pearls?	0
17	17	listen	echolalia	217357.154652916	How do oysters make pearls?	How do oysters make pearls?	0
18	18	readRepeat	echolalia	217362.821705916	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
18	18	listen	echolalia	217368.305404291	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
19	19	readRepeat	echolalia	217374.355515583	Is she going with you?	Is she going with you?	0
19	19	listen	echolalia	217377.989577166	Is she going with you?	Is she going with you?	0
20	20	readRepeat	echolalia	217382.456401666	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
20	20	listen	echolalia	217387.806627	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
0	0	break	break	217393.84038325	break	break	break
1	21	readRepeat	shuffled	217393.84038325	Draw every outer line first, then fill in the interior.	That pickpocket was caught red-handed.	0
1	21	listen	shuffled	217406.974331375	Draw every outer line first, then fill in the interior.	That pickpocket was caught red-handed.	0
2	22	readRepeat	shuffled	217412.524517541	The water contained too much chlorine and stung his eyes.	May I order a parfait after I eat dinner?	0
2	22	listen	shuffled	217417.691486791	The water contained too much chlorine and stung his eyes.	May I order a parfait after I eat dinner?	0
3	23	readRepeat	shuffled	217423.675217708	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	23	listen	shuffled	217428.409294875	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	24	readRepeat	shuffled	217434.392816791	Challenge each general's intelligence.	A muscular abdomen is good for your back.	0
4	24	listen	shuffled	217438.593723791	Challenge each general's intelligence.	A muscular abdomen is good for your back.	0
