June 24, 2022 at 2:42:09 PM
ONSET PROD LOG FILE
S0020_B4
Trial	CumTrial	TrialPart	CurrentBlock	Time	MOCHARead	MOCHAHeard	CurrentRepetition
1	1	readRepeat	echolalia	1476837.026048	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
1	1	listen	echolalia	1476850.174877916	Draw every outer line first, then fill in the interior.	Draw every outer line first, then fill in the interior.	0
2	2	readRepeat	echolalia	1476852.949876125	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
2	2	listen	echolalia	1476860.149900916	The water contained too much chlorine and stung his eyes.	The water contained too much chlorine and stung his eyes.	0
3	3	readRepeat	echolalia	1476867.974694625	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	3	listen	echolalia	1476874.474750958	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	4	readRepeat	echolalia	1476881.388108791	Challenge each general's intelligence.	Challenge each general's intelligence.	0
4	4	listen	echolalia	1476888.449832333	Challenge each general's intelligence.	Challenge each general's intelligence.	0
5	5	readRepeat	echolalia	1476896.012477458	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
5	5	listen	echolalia	1476902.450044375	Ambidextrous pickpockets accomplish more.	Ambidextrous pickpockets accomplish more.	0
6	6	readRepeat	echolalia	1476909.724908	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
6	6	listen	echolalia	1476915.875153041	A muscular abdomen is good for your back.	A muscular abdomen is good for your back.	0
7	7	readRepeat	echolalia	1476922.224672291	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
7	7	listen	echolalia	1476928.887606333	They own a big house in the remote countryside.	They own a big house in the remote countryside.	0
8	8	readRepeat	echolalia	1476936.175555541	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
8	8	listen	echolalia	1476942.887810541	The rose corsage smelled sweet.	The rose corsage smelled sweet.	0
9	9	readRepeat	echolalia	1476949.437791625	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
9	9	listen	echolalia	1476955.008001666	That pickpocket was caught red-handed.	That pickpocket was caught red-handed.	0
10	10	readRepeat	echolalia	1476961.325320333	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	10	listen	echolalia	1476970.450253625	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	11	readRepeat	echolalia	1476980.249839958	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
11	11	listen	echolalia	1476987.595897166	Her wardrobe consists of only skirts and blouses.	Her wardrobe consists of only skirts and blouses.	0
12	12	readRepeat	echolalia	1476995.537937958	The two artists exchanged autographs.	The two artists exchanged autographs.	0
12	12	listen	echolalia	1477001.813103958	The two artists exchanged autographs.	The two artists exchanged autographs.	0
13	13	readRepeat	echolalia	1477008.66268475	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
13	13	listen	echolalia	1477015.887930416	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
14	14	readRepeat	echolalia	1477023.725908375	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
14	14	listen	echolalia	1477032.3257205	Rich purchased several signed lithographs.	Rich purchased several signed lithographs.	0
15	15	readRepeat	echolalia	1477056.296859541	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
15	15	listen	echolalia	1477066.188656833	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
16	16	readRepeat	echolalia	1477077.1883565	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
16	16	listen	echolalia	1477084.963045041	The cranberry bog gets very pretty in Autumn.	The cranberry bog gets very pretty in Autumn.	0
17	17	readRepeat	echolalia	1477093.538726416	How do oysters make pearls?	How do oysters make pearls?	0
17	17	listen	echolalia	1477099.663564333	How do oysters make pearls?	How do oysters make pearls?	0
18	18	readRepeat	echolalia	1477106.613680125	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
18	18	listen	echolalia	1477114.913648416	May I order a parfait after I eat dinner?	May I order a parfait after I eat dinner?	0
19	19	readRepeat	echolalia	1477124.364115416	Is she going with you?	Is she going with you?	0
19	19	listen	echolalia	1477129.451033083	Is she going with you?	Is she going with you?	0
20	20	readRepeat	echolalia	1477135.176229375	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
20	20	listen	echolalia	1477141.888894708	Can the agency overthrow alien forces?	Can the agency overthrow alien forces?	0
0	0	break	break	1477149.234598125	break	break	break
0	0	break	break	1477152.785772291	break	break	break
1	21	readRepeat	shuffled	1477152.785772291	Draw every outer line first, then fill in the interior.	That pickpocket was caught red-handed.	0
1	21	listen	shuffled	1477163.561969125	Draw every outer line first, then fill in the interior.	That pickpocket was caught red-handed.	0
2	22	readRepeat	shuffled	1477170.051313625	The water contained too much chlorine and stung his eyes.	Her wardrobe consists of only skirts and blouses.	0
2	22	listen	shuffled	1477177.898857541	The water contained too much chlorine and stung his eyes.	Her wardrobe consists of only skirts and blouses.	0
3	23	readRepeat	shuffled	1477185.901613916	John's brother repainted the garage door.	John's brother repainted the garage door.	0
3	23	listen	shuffled	1477192.751158583	John's brother repainted the garage door.	John's brother repainted the garage door.	0
4	24	readRepeat	shuffled	1477199.900841458	Challenge each general's intelligence.	A muscular abdomen is good for your back.	0
4	24	listen	shuffled	1477207.226841041	Challenge each general's intelligence.	A muscular abdomen is good for your back.	0
5	25	readRepeat	shuffled	1477214.376445041	Ambidextrous pickpockets accomplish more.	Draw every outer line first, then fill in the interior.	0
5	25	listen	shuffled	1477222.101574208	Ambidextrous pickpockets accomplish more.	Draw every outer line first, then fill in the interior.	0
6	26	readRepeat	shuffled	1477226.363994125	A muscular abdomen is good for your back.	The water contained too much chlorine and stung his eyes.	0
6	26	listen	shuffled	1477233.089078833	A muscular abdomen is good for your back.	The water contained too much chlorine and stung his eyes.	0
7	27	readRepeat	shuffled	1477240.964138125	They own a big house in the remote countryside.	Is she going with you?	0
7	27	listen	shuffled	1477247.314189625	They own a big house in the remote countryside.	Is she going with you?	0
8	28	readRepeat	shuffled	1477253.01390125	The rose corsage smelled sweet.	They own a big house in the remote countryside.	0
8	28	listen	shuffled	1477259.114707833	The rose corsage smelled sweet.	They own a big house in the remote countryside.	0
9	29	readRepeat	shuffled	1477266.5221815	That pickpocket was caught red-handed.	Challenge each general's intelligence.	0
9	29	listen	shuffled	1477273.476922958	That pickpocket was caught red-handed.	Challenge each general's intelligence.	0
10	30	readRepeat	shuffled	1477281.6768385	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
10	30	listen	shuffled	1477291.314488	An adult male baboon's teeth are not suitable for eating shellfish.	An adult male baboon's teeth are not suitable for eating shellfish.	0
11	31	readRepeat	shuffled	1477301.07656625	Her wardrobe consists of only skirts and blouses.	May I order a parfait after I eat dinner?	0
11	31	listen	shuffled	1477308.776864583	Her wardrobe consists of only skirts and blouses.	May I order a parfait after I eat dinner?	0
12	32	readRepeat	shuffled	1477317.412396583	The two artists exchanged autographs.	Rich purchased several signed lithographs.	0
12	32	listen	shuffled	1477324.052182333	The two artists exchanged autographs.	Rich purchased several signed lithographs.	0
13	33	readRepeat	shuffled	1477333.914561791	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
13	33	listen	shuffled	1477344.727504416	Butterscotch fudge goes well with vanilla ice cream.	Butterscotch fudge goes well with vanilla ice cream.	0
14	34	readRepeat	shuffled	1477354.135087833	Rich purchased several signed lithographs.	The cranberry bog gets very pretty in Autumn.	0
14	34	listen	shuffled	1477361.402310708	Rich purchased several signed lithographs.	The cranberry bog gets very pretty in Autumn.	0
15	35	readRepeat	shuffled	1477369.800733	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
15	35	listen	shuffled	1477377.138543875	Any contributions will be greatly appreciated.	Any contributions will be greatly appreciated.	0
16	36	readRepeat	shuffled	1477387.823090791	The cranberry bog gets very pretty in Autumn.	Can the agency overthrow alien forces?	0
16	36	listen	shuffled	1477394.514950666	The cranberry bog gets very pretty in Autumn.	Can the agency overthrow alien forces?	0
17	37	readRepeat	shuffled	1477401.915192375	How do oysters make pearls?	Ambidextrous pickpockets accomplish more.	0
17	37	listen	shuffled	1477407.404011833	How do oysters make pearls?	Ambidextrous pickpockets accomplish more.	0
18	38	readRepeat	shuffled	1477414.590109041	May I order a parfait after I eat dinner?	How do oysters make pearls?	0
18	38	listen	shuffled	1477421.563240125	May I order a parfait after I eat dinner?	How do oysters make pearls?	0
19	39	readRepeat	shuffled	1477428.352185291	Is she going with you?	The rose corsage smelled sweet.	0
19	39	listen	shuffled	1477434.815190875	Is she going with you?	The rose corsage smelled sweet.	0
20	40	readRepeat	shuffled	1477442.215037083	Can the agency overthrow alien forces?	The two artists exchanged autographs.	0
20	40	listen	shuffled	1477449.027820583	Can the agency overthrow alien forces?	The two artists exchanged autographs.	0

